location,counts,id,country,Region,Population_ori,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
Bulgaria,40,1,Bulgaria,EASTERN EUROPE,7385367,7385367,110910,"66,6","0,32","-4,58",2055,7600,986,"336,3","40,02","1,92",5806,3,965,1427,93,304,603
Honduras,36,1,Honduras,LATIN AMER. & CARIB,7326496,7326496,112090,"65,4","0,73","-1,99",2932,2600,762,"67,5","9,55","3,22",8723,2,2824,528,139,312,549
El Salvador,31,1,El Salvador,LATIN AMER. & CARIB,6822378,6822378,21040,"324,3","1,46","-3,74",251,4800,802,"142,4","31,85","12,07",5608,2,2661,578,99,302,599
Paraguay,38,1,Paraguay,LATIN AMER. & CARIB,6506464,6506464,406750,"16,0","0,00","-0,08",2563,4700,940,"49,2","7,6","0,23",9217,2,291,449,224,207,569
Laos,25,1,Laos,ASIA (EX. NEAR EAST),6368481,6368481,236800,"26,9","0,00",0,8522,1700,664,"14,1","3,8","0,35",9585,2,3549,1155,455,287,258
Israel,107,1,Israel,NEAR EAST,6352117,6352117,20770,"305,8","1,31","0,68",703,19800,954,"462,3","16,39","4,17",7944,3,1797,618,26,317,657
Sierra Leone,18,1,Sierra Leone,SUB-SAHARAN AFRICA,6005250,6005250,71740,"83,7","0,56",0,14364,500,314,"4,0","6,98","0,89",9213,2,4576,2303,"0,49","0,31","0,21"
Jordan,37,1,Jordan,NEAR EAST,5906760,5906760,92300,"64,0","0,03","6,59",1735,4300,913,"104,5","2,67","1,83",955,1,2125,265,33,287,"0,68"
Libya,25,1,Libya,NORTHERN AFRICA,5900754,5900754,1759540,"3,4","0,10",0,246,6400,826,"127,1","1,03","0,19",9878,NA,2649,348,76,499,425
Papua New Guinea,29,1,Papua New Guinea,OCEANIA,5670544,5670544,462840,"12,3","1,11",0,5145,2200,646,"10,9","0,46","1,44",981,2,2936,725,353,381,266
Nicaragua,31,1,Nicaragua,LATIN AMER. & CARIB,5570129,5570129,129494,"43,0","0,70","-1,22",2911,2300,675,"39,7","15,94","1,94",8212,2,2451,445,165,275,"0,56"
Togo,36,1,Togo,SUB-SAHARAN AFRICA,5548702,5548702,56785,"97,7","0,10",0,6661,1500,609,"10,6","46,15","2,21",5164,2,3701,983,395,204,401
Denmark,110,1,Denmark,WESTERN EUROPE,5450661,5450661,43094,"126,5","16,97","2,48",456,31100,1000,"614,6","54,02","0,19",4579,3,1113,1036,18,246,735
Slovakia,42,1,Slovakia,EASTERN EUROPE,5439448,5439448,48845,"111,4","0,00","0,3",741,13300,NA,"220,1","30,16","2,62",6722,3,1065,945,35,294,672
Finland,106,1,Finland,WESTERN EUROPE,5231372,5231372,338145,"15,5","0,37","0,95",357,27400,1000,"405,3","7,19","0,03",9278,3,1045,986,28,295,676
Kyrgyzstan,31,1,Kyrgyzstan,C.W. OF IND. STATES,5213898,5213898,198500,"26,3","0,00","-2,45",3564,1600,970,"84,0","7,3","0,35",9235,25,228,708,353,208,439
Eritrea,28,1,Eritrea,SUB-SAHARAN AFRICA,4786994,4786994,121320,"39,5","1,84",0,7487,700,586,"7,9","4,95","0,03",9502,15,3433,96,102,254,643
Georgia,107,1,Georgia,C.W. OF IND. STATES,4661473,4661473,69700,"66,9","0,44","-4,7",1859,2500,990,"146,6","11,44","3,86",847,3,1041,923,172,275,553
Norway,110,1,Norway,WESTERN EUROPE,4610820,4610820,323802,"14,2","7,77","1,74",37,37800,1000,"461,7","2,87",0,9713,3,1146,94,21,415,564
Croatia,107,1,Croatia,EASTERN EUROPE,4494749,4494749,56542,"79,5","10,32","1,58",684,10600,985,"420,4","26,09","2,27",7165,NA,961,1148,"0,07",308,622
Singapore,110,1,Singapore,ASIA (EX. NEAR EAST),4492150,4492150,693,"6482,2","27,85","11,53",229,23700,925,"411,4","1,64",0,9836,2,934,428,0,339,661
Moldova,40,1,Moldova,C.W. OF IND. STATES,4466706,4466706,33843,"132,0","0,00","-0,26",4042,1800,991,"208,1","55,3","10,79",3391,NA,157,1264,213,233,555
New Zealand,101,1,New Zealand,OCEANIA,4076140,4076140,268680,"15,2","5,63","4,05",585,21600,990,"441,7","5,6","6,99",8741,3,1376,753,43,273,684
Costa Rica,42,1,Costa Rica,LATIN AMER. & CARIB,4075261,4075261,51100,"79,8","2,52","0,51",995,9100,960,"340,7","4,41","5,88",8971,2,1832,436,88,299,614
Ireland,108,1,Ireland,WESTERN EUROPE,4062235,4062235,70280,"57,8","2,06","4,99",539,29600,980,"500,5","15,2","0,03",8477,3,1445,782,"0,05","0,46","0,49"
Puerto Rico,22,1,Puerto Rico,LATIN AMER. & CARIB,3927188,3927188,13790,"284,8","3,63","-1,46",824,16800,941,"283,1","3,95","5,52",9053,2,1277,765,"0,01","0,45","0,54"
Lebanon,106,1,Lebanon,NEAR EAST,3874050,3874050,10400,"372,5","2,16",0,2452,4800,874,"255,6","16,62","13,98",694,NA,1852,621,"0,12","0,21","0,67"
Lithuania,101,1,Lithuania,BALTICS,3585906,3585906,65200,"55,0","0,14","-0,71",689,11400,996,"223,4","45,22","0,91",5387,NA,875,1098,55,325,"0,62"
Albania,41,1,Albania,EASTERN EUROPE,3581655,3581655,28748,"124,6","1,26","-4,93",2152,4500,865,"71,2","21,09","4,42",7449,3,1511,522,232,188,579
Uruguay,35,1,Uruguay,LATIN AMER. & CARIB,3431932,3431932,176220,"19,5","0,37","-0,32",1195,12800,980,"291,4","7,43","0,23",9234,3,1391,905,93,311,596
Panama,40,1,Panama,LATIN AMER. & CARIB,3191319,3191319,78200,"40,8","3,18","-0,91",2047,6300,926,"137,9","7,36","1,98",9066,2,2174,536,68,156,776
Mauritania,35,1,Mauritania,SUB-SAHARAN AFRICA,3177388,3177388,1030700,"3,1","0,07",0,7089,1800,417,"12,9","0,48","0,01",9951,1,4099,1216,"0,25","0,29","0,46"
